make,model,date,month,year,sales
Maruti Suzuki,Grand Vitara,Aug 22,Aug,2022,0.0
Maruti Suzuki,Celerio,Aug 22,Aug,2022,5852.0
Maruti Suzuki,Baleno,Aug 22,Aug,2022,18418.0
Maruti Suzuki,S-Presso,Aug 22,Aug,2022,7774.0
Maruti Suzuki,Alto K10,Aug 22,Aug,2022,
Maruti Suzuki,Dzire,Aug 22,Aug,2022,11868.0
Maruti Suzuki,Ertiga,Aug 22,Aug,2022,9314.0
Maruti Suzuki,Swift,Aug 22,Aug,2022,11275.0
Maruti Suzuki,XL6,Aug 22,Aug,2022,2425.0
Maruti Suzuki,Brezza,Aug 22,Aug,2022,
Maruti Suzuki,Wagon R,Aug 22,Aug,2022,18398.0
Maruti Suzuki,Jimny,Aug 22,Aug,2022,0.0
Hyundai,Verna,Aug 22,Aug,2022,1734.0
Hyundai,Aura,Aug 22,Aug,2022,4378.0
Hyundai,Grand i10 Nios,Aug 22,Aug,2022,
Maruti Suzuki,Ciaz,Aug 22,Aug,2022,1516.0
Hyundai,Exter,Aug 22,Aug,2022,0.0
Hyundai,Creta N Line,Aug 22,Aug,2022,
Hyundai,Tucson,Aug 22,Aug,2022,343.0
Maruti Suzuki,Eeco,Aug 22,Aug,2022,11999.0
Hyundai,i20,Aug 22,Aug,2022,
Maruti Suzuki,Invicto,Aug 22,Aug,2022,0.0
Hyundai,Creta,Aug 22,Aug,2022,12577.0
Hyundai,Alcazar,Aug 22,Aug,2022,2304.0
Hyundai,Venue,Aug 22,Aug,2022,11240.0
Tata,Tiago NRG BS6,Aug 22,Aug,2022,
Tata,Tiago,Aug 22,Aug,2022,7209.0
Tata,Punch EV,Aug 22,Aug,2022,
Tata,Tigor,Aug 22,Aug,2022,3486.0
Tata,Nexon EV,Aug 22,Aug,2022,
Tata,Altroz,Aug 22,Aug,2022,4968.0
Tata,Harrier,Aug 22,Aug,2022,2596.0
Tata,Tiago EV,Aug 22,Aug,2022,
Hyundai,Venue N Line,Aug 22,Aug,2022,
Hyundai,Ioniq 5,Aug 22,Aug,2022,0.0
Tata,Safari,Aug 22,Aug,2022,1820.0
Tata,Punch,Aug 22,Aug,2022,12006.0
Hyundai,Kona Electric,Aug 22,Aug,2022,102.0
Tata,Xpres-T EV,Aug 22,Aug,2022,
Mahindra,Scorpio Classic,Aug 22,Aug,2022,
Tata,Altroz CNG,Aug 22,Aug,2022,
Tata,Altroz Racer,Aug 22,Aug,2022,
Mahindra,Thar,Aug 22,Aug,2022,
Toyota,Innova Crysta,Aug 22,Aug,2022,
Mahindra,XUV700,Aug 22,Aug,2022,
Mahindra,Bolero,Aug 22,Aug,2022,8246.0
Mahindra,XUV 400 Electric,Aug 22,Aug,2022,0.0
Mahindra,Scorpio N,Aug 22,Aug,2022,
Mahindra,XUV 3X0,Aug 22,Aug,2022,
Mahindra,Bolero Neo,Aug 22,Aug,2022,
Mahindra,Bolero Neo Plus,Aug 22,Aug,2022,
Tata,Tigor CNG,Aug 22,Aug,2022,
Tata,Tiago CNG,Aug 22,Aug,2022,
