make|model|sales
Maruti Suzuki|Grand Vitara|{'Aug 22': 0, 'Aug 23': 11818, 'Dec 22': 6171, 'Dec 23': 6988, 'Feb 23': 9183, 'Feb 24': 11002, 'Jan 23': 8662, 'Jan 24': 13438, 'Jul 22': 0, 'Jul 23': 9079, 'Jun 22': 0, 'Jun 23': 10486, 'Mar 23': 10045, 'Mar 24': 11232, 'May 22': 0, 'May 23': 8877, 'Nov 22': 4433, 'Nov 23': 7937, 'Oct 22': 8052, 'Oct 23': 10834, 'Sep 22': 4769, 'Sep 23': 11736}
Maruti Suzuki|Celerio|{'Aug 22': 5852, 'Aug 23': 4038, 'Dec 22': 1090, 'Dec 23': 247, 'Feb 23': 4458, 'Feb 24': 3586, 'Jan 23': 3418, 'Jan 24': 4406, 'Jul 22': 6854, 'Jul 23': 2893, 'Jun 22': 8683, 'Jun 23': 3399, 'Mar 23': 4646, 'Mar 24': 3478, 'May 22': 6398, 'May 23': 3216, 'Nov 22': 2483, 'Nov 23': 2215, 'Oct 22': 4296, 'Oct 23': 4317, 'Sep 22': 5390, 'Sep 23': 3246}
Maruti Suzuki|Baleno|{'Aug 22': 18418, 'Aug 23': 18516, 'Dec 22': 16932, 'Dec 23': 10669, 'Feb 23': 18592, 'Feb 24': 17517, 'Jan 23': 16357, 'Jan 24': 19630, 'Jul 22': 17960, 'Jul 23': 16725, 'Jun 22': 16103, 'Jun 23': 14077, 'Mar 23': 16168, 'Mar 24': 15588, 'May 22': 13970, 'May 23': 18733, 'Nov 22': 20945, 'Nov 23': 12961, 'Oct 22': 17149, 'Oct 23': 16594, 'Sep 22': 19369, 'Sep 23': 18417}
Maruti Suzuki|S-Presso|{'Aug 22': 7774, 'Aug 23': 2606, 'Dec 22': 1117, 'Dec 23': 60, 'Feb 23': 3761, 'Feb 24': 3059, 'Jan 23': 4035, 'Jan 24': 3454, 'Jul 22': 11268, 'Jul 23': 2491, 'Jun 22': 652, 'Jun 23': 2731, 'Mar 23': 2443, 'Mar 24': 2497, 'May 22': 4475, 'May 23': 2868, 'Nov 22': 2588, 'Nov 23': 1883, 'Oct 22': 3676, 'Oct 23': 3368, 'Sep 22': 4730, 'Sep 23': 2560}
Maruti Suzuki|Alto K10|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Maruti Suzuki|Dzire|{'Aug 22': 11868, 'Aug 23': 13293, 'Dec 22': 11997, 'Dec 23': 14012, 'Feb 23': 16798, 'Feb 24': 15837, 'Jan 23': 11317, 'Jan 24': 16773, 'Jul 22': 13747, 'Jul 23': 13395, 'Jun 22': 12597, 'Jun 23': 9322, 'Mar 23': 13394, 'Mar 24': 15894, 'May 22': 11603, 'May 23': 11315, 'Nov 22': 14456, 'Nov 23': 15965, 'Oct 22': 12321, 'Oct 23': 14699, 'Sep 22': 9601, 'Sep 23': 13880}
Maruti Suzuki|Ertiga|{'Aug 22': 9314, 'Aug 23': 12315, 'Dec 22': 12273, 'Dec 23': 12975, 'Feb 23': 6472, 'Feb 24': 15519, 'Jan 23': 9750, 'Jan 24': 14632, 'Jul 22': 9694, 'Jul 23': 14352, 'Jun 22': 10423, 'Jun 23': 8422, 'Mar 23': 9028, 'Mar 24': 14888, 'May 22': 12226, 'May 23': 10528, 'Nov 22': 13818, 'Nov 23': 12857, 'Oct 22': 10494, 'Oct 23': 14209, 'Sep 22': 9299, 'Sep 23': 13528}
Maruti Suzuki|Swift|{'Aug 22': 11275, 'Aug 23': 18653, 'Dec 22': 12061, 'Dec 23': 11843, 'Feb 23': 18412, 'Feb 24': 13165, 'Jan 23': 16440, 'Jan 24': 15370, 'Jul 22': 17539, 'Jul 23': 17896, 'Jun 22': 16213, 'Jun 23': 15955, 'Mar 23': 17559, 'Mar 24': 15728, 'May 22': 14133, 'May 23': 17346, 'Nov 22': 15153, 'Nov 23': 15311, 'Oct 22': 17231, 'Oct 23': 20598, 'Sep 22': 11988, 'Sep 23': 14703}
Maruti Suzuki|XL6|{'Aug 22': 2425, 'Aug 23': 4184, 'Dec 22': 3364, 'Dec 23': 2226, 'Feb 23': 2108, 'Feb 24': 4093, 'Jan 23': 2582, 'Jan 24': 4363, 'Jul 22': 3870, 'Jul 23': 4320, 'Jun 22': 3336, 'Jun 23': 2856, 'Mar 23': 1754, 'Mar 24': 4505, 'May 22': 4085, 'May 23': 3577, 'Nov 22': 2988, 'Nov 23': 3472, 'Oct 22': 2484, 'Oct 23': 4367, 'Sep 22': 3061, 'Sep 23': 4511}
Maruti Suzuki|Brezza|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Maruti Suzuki|Wagon R|{'Aug 22': 18398, 'Aug 23': 15578, 'Dec 22': 10181, 'Dec 23': 8578, 'Feb 23': 16889, 'Feb 24': 19412, 'Jan 23': 20466, 'Jan 24': 17756, 'Jul 22': 22588, 'Jul 23': 12970, 'Jun 22': 19190, 'Jun 23': 17481, 'Mar 23': 17305, 'Mar 24': 16368, 'May 22': 16814, 'May 23': 16258, 'Nov 22': 14720, 'Nov 23': 16567, 'Oct 22': 17945, 'Oct 23': 22080, 'Sep 22': 20078, 'Sep 23': 16250}
Maruti Suzuki|Jimny|{'Aug 22': 0, 'Aug 23': 3104, 'Dec 22': 0, 'Dec 23': 730, 'Feb 23': 0, 'Feb 24': 322, 'Jan 23': 0, 'Jan 24': 163, 'Jul 22': 0, 'Jul 23': 3778, 'Jun 22': 0, 'Jun 23': 3071, 'Mar 23': 0, 'Mar 24': 318, 'May 22': None, 'May 23': None, 'Nov 22': 0, 'Nov 23': 1020, 'Oct 22': 0, 'Oct 23': 1852, 'Sep 22': 0, 'Sep 23': 2651}
Hyundai|Verna|{'Aug 22': 1734, 'Aug 23': 2576, 'Dec 22': 1538, 'Dec 23': 712, 'Feb 23': 47, 'Feb 24': 1680, 'Jan 23': 995, 'Jan 24': 2172, 'Jul 22': 1870, 'Jul 23': 2858, 'Jun 22': 1703, 'Jun 23': 4001, 'Mar 23': 3755, 'Mar 24': 1716, 'May 22': 1488, 'May 23': 3687, 'Nov 22': 2025, 'Nov 23': 1701, 'Oct 22': 2179, 'Oct 23': 2313, 'Sep 22': 1654, 'Sep 23': 2610}
Hyundai|Aura|{'Aug 22': 4378, 'Aug 23': 4892, 'Dec 22': 4156, 'Dec 23': 3812, 'Feb 23': 5524, 'Feb 24': 5053, 'Jan 23': 4634, 'Jan 24': 5516, 'Jul 22': 4018, 'Jul 23': 4514, 'Jun 22': 4102, 'Jun 23': 4907, 'Mar 23': 3774, 'Mar 24': 4883, 'May 22': 3311, 'May 23': 4707, 'Nov 22': 3813, 'Nov 23': 3850, 'Oct 22': 4248, 'Oct 23': 4096, 'Sep 22': 4239, 'Sep 23': 3900}
Hyundai|Grand i10 Nios|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Maruti Suzuki|Ciaz|{'Aug 22': 1516, 'Aug 23': 849, 'Dec 22': 1154, 'Dec 23': 489, 'Feb 23': 792, 'Feb 24': 481, 'Jan 23': 1000, 'Jan 24': 363, 'Jul 22': 1379, 'Jul 23': 1348, 'Jun 22': 1507, 'Jun 23': 1744, 'Mar 23': 300, 'Mar 24': 590, 'May 22': 586, 'May 23': 992, 'Nov 22': 1554, 'Nov 23': 278, 'Oct 22': 1884, 'Oct 23': 695, 'Sep 22': 1359, 'Sep 23': 1491}
Hyundai|Exter|{'Aug 22': 0, 'Aug 23': 7430, 'Dec 22': 0, 'Dec 23': 7516, 'Feb 23': 0, 'Feb 24': 7582, 'Jan 23': 0, 'Jan 24': 8229, 'Jul 22': 0, 'Jul 23': 7000, 'Jun 22': None, 'Jun 23': None, 'Mar 23': 0, 'Mar 24': 8475, 'May 22': None, 'May 23': None, 'Nov 22': 0, 'Nov 23': 8325, 'Oct 22': 0, 'Oct 23': 8097, 'Sep 22': 0, 'Sep 23': 8647}
Hyundai|Creta N Line|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Hyundai|Tucson|{'Aug 22': 343, 'Aug 23': 236, 'Dec 22': 12, 'Dec 23': 209, 'Feb 23': 498, 'Feb 24': 157, 'Jan 23': 180, 'Jan 24': 183, 'Jul 22': 170, 'Jul 23': 239, 'Jun 22': 0, 'Jun 23': 263, 'Mar 23': 581, 'Mar 24': 110, 'May 22': 1, 'May 23': 379, 'Nov 22': 247, 'Nov 23': 118, 'Oct 22': 487, 'Oct 23': 202, 'Sep 22': 419, 'Sep 23': 237}
Maruti Suzuki|Eeco|{'Aug 22': 11999, 'Aug 23': 11859, 'Dec 22': 10581, 'Dec 23': 10034, 'Feb 23': 11352, 'Feb 24': 12147, 'Jan 23': 11709, 'Jan 24': 12019, 'Jul 22': 13048, 'Jul 23': 12037, 'Jun 22': 10130, 'Jun 23': 9354, 'Mar 23': 11995, 'Mar 24': 12019, 'May 22': 10482, 'May 23': 12818, 'Nov 22': 7183, 'Nov 23': 10226, 'Oct 22': 8861, 'Oct 23': 12975, 'Sep 22': 12697, 'Sep 23': 11147}
Hyundai|i20|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Maruti Suzuki|Invicto|{'Aug 22': 0, 'Aug 23': 589, 'Dec 22': 0, 'Dec 23': 502, 'Feb 23': 0, 'Feb 24': 366, 'Jan 23': 0, 'Jan 24': 496, 'Jul 22': 0, 'Jul 23': 757, 'Jun 22': None, 'Jun 23': None, 'Mar 23': 0, 'Mar 24': 348, 'May 22': None, 'May 23': None, 'Nov 22': 0, 'Nov 23': 470, 'Oct 22': 0, 'Oct 23': 478, 'Sep 22': None, 'Sep 23': None}
Hyundai|Creta|{'Aug 22': 12577, 'Aug 23': 13832, 'Dec 22': 10205, 'Dec 23': 9243, 'Feb 23': 10421, 'Feb 24': 15276, 'Jan 23': 15037, 'Jan 24': 13212, 'Jul 22': 12625, 'Jul 23': 14062, 'Jun 22': 13790, 'Jun 23': 14447, 'Mar 23': 14026, 'Mar 24': 16458, 'May 22': 10973, 'May 23': 14449, 'Nov 22': 13321, 'Nov 23': 11814, 'Oct 22': 11880, 'Oct 23': 13077, 'Sep 22': 12866, 'Sep 23': 12717}
Hyundai|Alcazar|{'Aug 22': 2304, 'Aug 23': 1493, 'Dec 22': 1478, 'Dec 23': 954, 'Feb 23': 1559, 'Feb 24': 1290, 'Jan 23': 1537, 'Jan 24': 1827, 'Jul 22': 2888, 'Jul 23': 1443, 'Jun 22': 1986, 'Jun 23': 2119, 'Mar 23': 2519, 'Mar 24': 1420, 'May 22': 1947, 'May 23': 2443, 'Nov 22': 2566, 'Nov 23': 1913, 'Oct 22': 2847, 'Oct 23': 1837, 'Sep 22': 2643, 'Sep 23': 1977}
Hyundai|Venue|{'Aug 22': 11240, 'Aug 23': 10948, 'Dec 22': 8285, 'Dec 23': 10383, 'Feb 23': 9997, 'Feb 24': 8933, 'Jan 23': 10738, 'Jan 24': 11831, 'Jul 22': 12000, 'Jul 23': 10062, 'Jun 22': 10321, 'Jun 23': 11606, 'Mar 23': 10024, 'Mar 24': 9614, 'May 22': 8300, 'May 23': 10213, 'Nov 22': 10738, 'Nov 23': 11180, 'Oct 22': 9585, 'Oct 23': 11581, 'Sep 22': 11033, 'Sep 23': 12204}
Tata|Tiago NRG BS6|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Tata|Tiago|{'Aug 22': 7209, 'Aug 23': 9463, 'Dec 22': 6052, 'Dec 23': 4852, 'Feb 23': 7457, 'Feb 24': 6947, 'Jan 23': 9032, 'Jan 24': 6482, 'Jul 22': 6159, 'Jul 23': 8982, 'Jun 22': 5310, 'Jun 23': 8135, 'Mar 23': 7366, 'Mar 24': 6381, 'May 22': 4561, 'May 23': 8133, 'Nov 22': 5097, 'Nov 23': 5508, 'Oct 22': 7187, 'Oct 23': 5356, 'Sep 22': 6936, 'Sep 23': 6789}
Tata|Punch EV|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
Tata|Tigor|{'Aug 22': 3486, 'Aug 23': 2947, 'Dec 22': 3669, 'Dec 23': 1960, 'Feb 23': 3064, 'Feb 24': 1712, 'Jan 23': 3106, 'Jan 24': 1539, 'Jul 22': 5433, 'Jul 23': 2684, 'Jun 22': 4931, 'Jun 23': 3335, 'Mar 23': 2705, 'Mar 24': 2017, 'May 22': 3975, 'May 23': 2701, 'Nov 22': 4301, 'Nov 23': 1775, 'Oct 22': 4001, 'Oct 23': 1563, 'Sep 22': 3700, 'Sep 23': 1534}
Tata|Nexon EV|{'Aug 22': None, 'Aug 23': None, 'Dec 22': None, 'Dec 23': None, 'Feb 23': None, 'Feb 24': None, 'Jan 23': None, 'Jan 24': None, 'Jul 22': None, 'Jul 23': None, 'Jun 22': None, 'Jun 23': None, 'Mar 23': None, 'Mar 24': None, 'May 22': None, 'May 23': None, 'Nov 22': None, 'Nov 23': None, 'Oct 22': None, 'Oct 23': None, 'Sep 22': None, 'Sep 23': None}
